CSV creator
This tool creates a CSV of every lemma and morphology combination in the original text. Use it to generate a CSV that can be shared with others so the process of creating a literal translation can be shared.

Generate CSV Generate Object

ב,Hb,R,in
ב,Hb,Rd,in
ב,Hb,AR,in
ראשית,H7225,Ncfsa,first
ראשית,H7225,Ncfsc,first
ברא,H1254,Vqp3ms,he created
ברא,H1254,Vqc,he created
ברא,H1254,Vqv2ms,he created
ברא,H1254,Vqq3ms,he created
ברא,H1254,Vqrmsc,he created
ברא,H1254,Vpa,he created
ברא,H1254,Vqrmsa,he created
ברא,H1262,Vqp3ms,feed
אלהים,H430,Ncmpa,elohim
את,H853,To,
את,H854,R,with
את,H859,Pp2fs,you
את,H859,Pp2ms,you
את,H226,Ncbsa,token
את,H855,Ncmsc,
ה,Hd,Td,the
ה,Hd,Ti,the
ה,Hd,Rd,the
ה,Hd,R,the
ה,Hd,Tr,the
ה,Hd,ATi,the
ה,no-lemma,Sp3fs,
ה,no-lemma,Sd,
ה,no-lemma,Sp3fp,
ה,no-lemma,Sp3ms,
ה,no-lemma,Sh,
ה,no-lemma,Pp3fs,
ה,no-lemma,Td,
ה,no-lemma,Sp3cs,
ה,no-lemma,Acbsa,
ה,Hi,Ti,
ה,Hi,Td,
ה,Hi,ATi,
ה,H5221,Sp3fs,make smitten
שמים,H8064,Ncmpa,heavens
שמים,H8064,Ncmda,heavens
שמים,H7760,Vqrmpa,make put
ו,Hc,C,and
ו,Hc,AC,and
ו,Hc,R,and
ו,no-lemma,Sp3ms,
ו,no-lemma,Pp3ms,
ו,no-lemma,Sp3mp,
ו,no-lemma,Sp3cs,
ו,H7592,Sp3ms,make asked
ו,H8055,Sp3ms,be joyful
ו,H5456,Sp3ms,fall down.
ו,H3789,Sp3ms,write
ארץ,H776,Ncbsa,earth
ארץ,H776,Ncbsc,earth
ארץ,H7323,Vqi1cs,run
היתה,H1961,Vqp3fs,she was
היתה,H1961,Vqq3fs,to be
תהו,H8414,Ncmsa,naught
תהו,H8414,Ncmsc,naught
בהו,H922,Ncmsa,waste
חשך,H2822,Ncmsa,darkness
חשך,H2822,Ncmsc,darkness
חשך,H2820,Vqp3ms,assuage
חשך,H2820,Vqv2ms,assuage
חשך,H2820,Vqrmsa,assuage
חשך,H2821,Vqp3ms,dark
על,H5921,R,upon
על,H5921,Ncmsa,upon
על,H5923,Ncmsc,yoke.
על,H5923,Ncmsa,yoke.
על,H5920,Ncmsa,above
על,H5922,AR,about
על,H5922,R,about
על,H5764,R,nursed
על,H5929,Ncmsc,leaf
על,H5954,AVqp3ms,bring in
פני,H6440,Ncbpc,faces
תהום,H8415,Ncbsa,of disturbance
רוח,H7307,Ncbsc,breath
רוח,H7307,Ncbsa,breath
רוח,H7305,Ncmsa,spiriting
רוח,H7304,Vqp3ms,be spirited
רוח,H7308,ANcfsd,mind
רוח,H7308,ANcfsc,mind
רוח,H7308,ANcfsa,mind
רוח,H7308,Ncfsc,mind
מרחפת,H7363,Vprfsa,fluttering
מים,H4325,Ncmpa,waters
מים,H4325,Ncmsa,waters
מים,H4956,Np,Misrephoth-mayim.
מים,H66,Np,Abel-maim.
יאמר,H559,Vqw3ms,he said
יאמר,H559,VNi3ms,he said
יאמר,H559,Vqi3ms,he said
יאמר,H559,VNw3ms,he said
יאמר,H559,Vqj3ms,he said
יאמר,H559,Vqi3mp,he said
יאמר,H560,AVqi3ms,command
יאמר,H560,Vqi3ms,command
יהי,H1961,Vqj3ms,to be
יהי,H1961,Vqw3ms,he was
יהי,H1961,Vqi3ms,to be
אור,H216,Ncbsa,light
אור,H216,Ncbsc,light
אור,H218,Np,Ur.
אור,H215,Vqp3ms,be light
אור,H215,Vqq3ms,be light
אור,H215,VNc,be light
אור,H215,Vqrmsa,be light
אור,H3384,Vhi1cs,director
אור,H217,Ncmsa,fire
אור,H217,Ncmsc,fire
ירא,H7200,Vqw3ms,seer
ירא,H7200,VNw3ms,seer
ירא,H7200,Vqj3ms,seer
ירא,H7200,Vqi3ms,seer
ירא,H7200,VNj3ms,seer
ירא,H7200,Vhi3ms,seer
ירא,H7200,Vhw3ms,seer
ירא,H7200,Vqw3mp,seer
ירא,H3372,Vqp3ms,be fearful
ירא,H3372,Vqrmsa,be fearful
ירא,H3372,Vqc,be fearful
ירא,H3372,Vqw3ms,be fearful
ירא,H3372,Vpi3mp,be fearful
ירא,H3372,Aamsa,be fearful
ירא,H3372,Vpc,be fearful
ירא,H3372,Vqv2ms,be fearful
ירא,H3372,Vqi3ms,be fearful
ירא,H3373,Aamsc,fearful
ירא,H3373,Vqrmsa,fearful
ירא,H3373,Aamsa,fearful
ירא,H3373,Vqp3ms,fearful
כי,H3588,C,for
כי,H3588,Sp2fs,for
כי,no-lemma,Sp2fs,
כי,H3587,C,blistering
טוב,H2896,Aamsa,good
טוב,H2896,Vqq3ms,good
טוב,H2896,Vqp3ms,good
טוב,H2896,Aamsc,good
טוב,H2896,Vqc,good
טוב,H2898,Ncmsc,good
טוב,H2898,Ncmsa,good
טוב,H2895,Vqp3ms,be good
טוב,H2895,Vqq3ms,be good
טוב,H2895,Aamsa,be good
טוב,H2897,Np,Tob.
טוב,H2899,Np,Tob-adonijah.
יבדל,H914,Vhw3ms,make separate
יבדל,H914,VNw3ms,make separate
יבדל,H914,VNi3ms,make separate
בין,H996,R,between
בין,H995,Vqa,make discerned
בין,H995,Vqv2ms,make discerned
בין,H995,Vqp3ms,make discerned
בין,H997,AR,among
יקרא,H7121,Vqw3ms,wing
יקרא,H7121,Vqi3ms,wing
יקרא,H7121,VNi3ms,wing
יקרא,H7121,VNw3ms,wing
יקרא,H7121,Vqi3mp,wing
יקרא,H7122,Vqi3ms,make called
יקרא,H7122,VNi3ms,make called
יקרא,H7122,VNw3ms,make called
ל,Hl,Rd,to
ל,Hl,R,to
ל,Hl,AR,to
ל,Hl,ATo,to
ל,Hl,AC,to
ל,Hl,Td,to
ל,Hl,C,to
ל,Hl,To,to
ל,H935,R,they came
ל,H3606,C,all
ל,H337,R,woe
ל,H3605,R,all
ל,H7945,R,cause
יום,H3117,Ncmsa,days
יום,H3117,Ncmsc,days
יום,H3118,ANcmsa,day (by day)
יום,H3118,Np,day (by day)
קרא,H7121,Vqp3ms,wing
קרא,H7121,Vqc,wing
קרא,H7121,Vqq3ms,wing
קרא,H7121,Vqv2ms,wing
קרא,H7121,Vqrmsa,wing
קרא,H7121,VPp3ms,wing
קרא,H7121,Vqv2mp,wing
קרא,H7121,VPq3ms,wing
קרא,H7122,Vqp3ms,make called
קרא,H7122,Vqp3cp,make called
קרא,H7124,Ncmsa,qore
קרא,H6981,Np,Kore.
קרא,H7123,AVqrmsa,call
לילה,H3915,Ncmsa,night
ערב,H6153,Ncmsa,evening
ערב,H6158,Ncmsa,raven
ערב,H6148,Vqp3ms,exchange
ערב,H6148,Vqv2ms,exchange
ערב,H6148,Vqrmsa,exchange
ערב,H6148,Vqc,exchange
ערב,H6157,Ncmsa,fly
ערב,H6154,Ncmsa,exchanged
ערב,H6159,Np,Oreb.
ערב,H6150,Vqc,be exchanged
ערב,H6152,Ncmsa,Arabia.
ערב,H6152,Np,Arabia.
ערב,H6156,Aamsa,agreeable
בקר,H1242,Ncmsa,morning
בקר,H1241,Ncbsa,herd
בקר,H1241,Ncbsc,herd
בקר,H1239,Vpc,morn
אחד,H259,Acmsa,first
אחד,H259,Acmsc,first
רקיע,H7549,Ncmsa,expanse
רקיע,H7549,Ncmsc,expanse
תוך,H8432,Ncmsc,midst
תוך,H8432,Ncmsa,midst
תוך,H8496,Ncmsa,deceit
מבדיל,H914,Vhrmsa,make separate
יעש,H6213,Vqw3ms,do
יעש,H6213,Vqj3ms,do
יעש,H6213,Vqi3ms,do
אשר,H834,Tr,which
אשר,H837,Ncmsc,happiness
אשר,H836,Np,Asher
אשר,H804,Np,Asshur
אשר,H838,Ncfsc,
אשר,H838,Ncfpc,
אשר,H833,Vpv2ms,be happy
אשר,H835,Ncmsc,happinesses of
מ,Hm,R,from
מ,Hm,Ti,from
מ,Hm,C,from
מ,Hm,AR,from
מ,H4100,Ti,what
מ,H4480,R,from
תחת,H8478,R,under
תחת,H8478,Ncmsa,under
תחת,H8478,D,under
תחת,H8480,Np,Tahath.
תחת,H8480,R,Tahath.
תחת,H2865,VNj2ms,be dismayed
תחת,H2865,VNi2ms,be dismayed
תחת,H2865,VNi3fs,be dismayed
תחת,H5182,Vai2ms,carry
תחת,H5181,Vqi3fs,be broken
כן,H3651,D,so
כן,H3651,Tm,so
כן,H3651,Aamsa,so
כן,no-lemma,Sp2fp,
כן,H3653,Tm,so
כן,H3653,Ncmsa,so
כן,H3653,Ncmsc,so
כן,H3652,D,thus.
כן,H3652,AAampa,thus.
כן,H3654,D,lice
שני,H8145,Aomsa,second
שני,H8145,Aamsa,second
שני,H8145,Ncbsa,second
